trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5965070,74,1,OUTBOUND-HOMEWOOD,,0,74 -123,shp-74-54,1,1
4708010,74,4,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
5318080,74,2,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
5182070,74,1,OUTBOUND-HOMEWOOD,,0,74 -116,shp-74-54,1,1
3762070,74,1,OUTBOUND-HOMEWOOD,,0,74 -117,shp-74-54,1,1
3613080,74,2,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
2529070,74,1,OUTBOUND-HOMEWOOD,,0,74 -118,shp-74-54,1,1
2843010,74,4,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
3818070,74,1,OUTBOUND-HOMEWOOD,,0,74 -122,shp-74-54,1,1
4962010,74,4,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
9167070,74,1,OUTBOUND-HOMEWOOD,,0,74 -116,shp-74-54,1,1
8174080,74,2,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
6598080,74,2,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
9034070,74,1,OUTBOUND-HOMEWOOD,,0,74 -119,shp-74-54,1,1
7681070,74,1,OUTBOUND-HOMEWOOD,,0,74 -121,shp-74-54,1,1
6969070,74,1,OUTBOUND-HOMEWOOD,,0,74 -116,shp-74-54,1,1
3824080,74,2,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
2863010,74,4,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
2951070,74,1,OUTBOUND-HOMEWOOD,,0,74 -120,shp-74-54,1,1
8853010,74,4,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
6305070,75,1,OUTBOUND-BAKERY SQUARE,,0,75 -137,shp-75-52,1,1
8049020,75,3,OUTBOUND-ELLSWORTH,,0,75 -237,shp-75-54,1,1
6493010,75,4,OUTBOUND-ELLSWORTH,,0,75 -104,shp-75-54,1,1
7956080,75,2,OUTBOUND-ELLSWORTH,,0,75 -101,shp-75-54,1,1
4362020,75,3,OUTBOUND-ELLSWORTH,,0,75 -231,shp-75-54,1,1
4228020,75,3,OUTBOUND-ELLSWORTH,,0,75 -232,shp-75-54,1,1
7200010,75,4,OUTBOUND-ELLSWORTH,,0,75 -103,shp-75-54,1,1
7176080,75,2,OUTBOUND-ELLSWORTH,,0,75 -100,shp-75-54,1,1
7056020,75,3,OUTBOUND-ELLSWORTH,,0,75 -225,shp-75-54,1,1
3759010,75,4,OUTBOUND-ELLSWORTH,,0,75 -102,shp-75-54,1,1
6793020,75,3,OUTBOUND-ELLSWORTH,,0,75 -218,shp-75-54,1,1
9918020,75,3,OUTBOUND-ELLSWORTH,,0,75 -224,shp-75-54,1,1
4470080,75,2,OUTBOUND-ELLSWORTH,,0,75 -107,shp-75-53,1,1
7461010,75,4,OUTBOUND-ELLSWORTH,,0,75 -095,shp-75-54,1,1
7768010,75,4,OUTBOUND-ELLSWORTH,,0,75 -096,shp-75-54,1,1
4941020,75,3,OUTBOUND-ELLSWORTH,,0,75 -236,shp-75-53,1,1
3277020,75,3,OUTBOUND-ELLSWORTH,,0,75 -227,shp-75-54,1,1
4590020,75,3,OUTBOUND-ELLSWORTH,,0,75 -237,shp-75-53,1,1
25070,75,1,OUTBOUND-ELLSWORTH,,0,75 -125,shp-75-54,1,1
2486010,75,4,OUTBOUND-ELLSWORTH,,0,75 -099,shp-75-54,1,1
2576020,75,3,OUTBOUND-ELLSWORTH,,0,75 -230,shp-75-54,1,1
2548020,75,3,OUTBOUND-ELLSWORTH,,0,75 -221,shp-75-54,1,1
2580080,75,2,OUTBOUND-ELLSWORTH,,0,75 -097,shp-75-54,1,1
2846020,75,3,OUTBOUND-ELLSWORTH,,0,75 -220,shp-75-54,1,1
6634070,75,1,OUTBOUND-ELLSWORTH,,0,75 -135,shp-75-54,1,1
3565010,75,4,OUTBOUND-ELLSWORTH,,0,75 -107,shp-75-54,1,1
6350070,75,1,OUTBOUND-ELLSWORTH,,0,75 -137,shp-75-54,1,1
6024070,75,1,OUTBOUND-ELLSWORTH,,0,75 -125,shp-75-54,1,1
4600020,75,3,OUTBOUND-ELLSWORTH,,0,75 -216,shp-75-54,1,1
592020,75,3,OUTBOUND-ELLSWORTH,,0,75 -228,shp-75-54,1,1
4584020,75,3,OUTBOUND-ELLSWORTH,,0,75 -226,shp-75-54,1,1
4597080,75,2,OUTBOUND-ELLSWORTH,,0,75 -107,shp-75-54,1,1
321010,75,4,OUTBOUND-ELLSWORTH,,0,75 -097,shp-75-54,1,1
2339070,75,1,OUTBOUND-ELLSWORTH,,0,75 -136,shp-75-54,1,1
1990020,75,3,OUTBOUND-ELLSWORTH,,0,75 -233,shp-75-54,1,1
2237010,75,4,OUTBOUND-ELLSWORTH,,0,75 -101,shp-75-54,1,1
3006080,75,2,OUTBOUND-ELLSWORTH,,0,75 -105,shp-75-54,1,1
14082080,75,2,OUTBOUND-ELLSWORTH,,0,75 -106,shp-75-54,1,1
13588070,75,1,OUTBOUND-ELLSWORTH,,0,75 -130,shp-75-54,1,1
14079010,75,4,OUTBOUND-ELLSWORTH,,0,75 -102,shp-75-54,1,1
2300020,75,3,OUTBOUND-ELLSWORTH,,0,75 -229,shp-75-54,1,1
2176070,75,1,OUTBOUND-ELLSWORTH,,0,75 -129,shp-75-54,1,1
13729070,75,1,OUTBOUND-ELLSWORTH,,0,75 -127,shp-75-54,1,1
12631020,75,3,OUTBOUND-ELLSWORTH,,0,75 -216,shp-75-54,1,1
13795080,75,2,OUTBOUND-ELLSWORTH,,0,75 -103,shp-75-54,1,1
13810080,75,2,OUTBOUND-ELLSWORTH,,0,75 -095,shp-75-54,1,1
13722080,75,2,OUTBOUND-ELLSWORTH,,0,75 -100,shp-75-54,1,1
13592020,75,3,OUTBOUND-ELLSWORTH,,0,75 -222,shp-75-54,1,1
1628010,75,4,OUTBOUND-ELLSWORTH,,0,75 -107,shp-75-53,1,1
13215020,75,3,OUTBOUND-ELLSWORTH,,0,75 -214,shp-75-54,1,1
13206080,75,2,OUTBOUND-ELLSWORTH,,0,75 -097,shp-75-54,1,1
13275070,75,1,OUTBOUND-ELLSWORTH,,0,75 -132,shp-75-54,1,1
10500020,75,3,OUTBOUND-ELLSWORTH,,0,75 -221,shp-75-54,1,1
10203070,75,1,OUTBOUND-ELLSWORTH,,0,75 -124,shp-75-54,1,1
10783010,75,4,OUTBOUND-ELLSWORTH,,0,75 -098,shp-75-54,1,1
10662070,75,1,OUTBOUND-ELLSWORTH,,0,75 -129,shp-75-54,1,1
11548080,75,2,OUTBOUND-ELLSWORTH,,0,75 -106,shp-75-53,1,1
10795020,75,3,OUTBOUND-ELLSWORTH,,0,75 -235,shp-75-54,1,1
11725020,75,3,OUTBOUND-ELLSWORTH,,0,75 -233,shp-75-54,1,1
11101010,75,4,OUTBOUND-ELLSWORTH,,0,75 -105,shp-75-53,1,1
11075020,75,3,OUTBOUND-ELLSWORTH,,0,75 -217,shp-75-54,1,1
11033070,75,1,OUTBOUND-ELLSWORTH,,0,75 -127,shp-75-54,1,1
10869020,75,3,OUTBOUND-ELLSWORTH,,0,75 -217,shp-75-54,1,1
10741070,75,1,OUTBOUND-ELLSWORTH,,0,75 -136,shp-75-53,1,1
11227010,75,4,OUTBOUND-ELLSWORTH,,0,75 -098,shp-75-54,1,1
12022070,75,1,OUTBOUND-ELLSWORTH,,0,75 -126,shp-75-54,1,1
123020,75,3,OUTBOUND-ELLSWORTH,,0,75 -223,shp-75-54,1,1
11855010,75,4,OUTBOUND-ELLSWORTH,,0,75 -095,shp-75-54,1,1
11890080,75,2,OUTBOUND-ELLSWORTH,,0,75 -103,shp-75-54,1,1
12778070,75,1,OUTBOUND-ELLSWORTH,,0,75 -131,shp-75-54,1,1
11569020,75,3,OUTBOUND-ELLSWORTH,,0,75 -218,shp-75-54,1,1
12423020,75,3,OUTBOUND-ELLSWORTH,,0,75 -227,shp-75-54,1,1
11179020,75,3,OUTBOUND-ELLSWORTH,,0,75 -236,shp-75-54,1,1
11074080,75,2,OUTBOUND-ELLSWORTH,,0,75 -104,shp-75-54,1,1
9700070,75,1,OUTBOUND-ELLSWORTH,,0,75 -138,shp-75-53,1,1
9522010,75,4,OUTBOUND-ELLSWORTH,,0,75 -106,shp-75-53,1,1
2964080,75,2,OUTBOUND-ELLSWORTH,,0,75 -099,shp-75-54,1,1
3359070,75,1,OUTBOUND-ELLSWORTH,,0,75 -134,shp-75-54,1,1
3380020,75,3,OUTBOUND-ELLSWORTH,,0,75 -231,shp-75-54,1,1
3383080,75,2,OUTBOUND-ELLSWORTH,,0,75 -096,shp-75-54,1,1
3384080,75,2,OUTBOUND-ELLSWORTH,,0,75 -095,shp-75-54,1,1
3880010,75,4,OUTBOUND-ELLSWORTH,,0,75 -103,shp-75-54,1,1
391020,75,3,OUTBOUND-ELLSWORTH,,0,75 -215,shp-75-54,1,1
4012020,75,3,OUTBOUND-ELLSWORTH,,0,75 -235,shp-75-54,1,1
4061070,75,1,OUTBOUND-ELLSWORTH,,0,75 -131,shp-75-54,1,1
13851020,75,3,OUTBOUND-ELLSWORTH,,0,75 -214,shp-75-54,1,1
13071080,75,2,OUTBOUND-ELLSWORTH,,0,75 -096,shp-75-54,1,1
13177020,75,3,OUTBOUND-ELLSWORTH,,0,75 -224,shp-75-54,1,1
7051020,75,3,OUTBOUND-ELLSWORTH,,0,75 -219,shp-75-54,1,1
7503010,75,4,OUTBOUND-ELLSWORTH,,0,75 -105,shp-75-54,1,1
7852070,75,1,OUTBOUND-ELLSWORTH,,0,75 -128,shp-75-54,1,1
7837070,75,1,OUTBOUND-ELLSWORTH,,0,75 -128,shp-75-54,1,1
7716020,75,3,OUTBOUND-ELLSWORTH,,0,75 -226,shp-75-54,1,1
7722020,75,3,OUTBOUND-ELLSWORTH,,0,75 -220,shp-75-54,1,1
5006010,75,4,OUTBOUND-ELLSWORTH,,0,75 -096,shp-75-54,1,1
5523020,75,3,OUTBOUND-ELLSWORTH,,0,75 -225,shp-75-54,1,1
5405020,75,3,OUTBOUND-ELLSWORTH,,0,75 -222,shp-75-54,1,1
5792080,75,2,OUTBOUND-ELLSWORTH,,0,75 -102,shp-75-54,1,1
620020,75,3,OUTBOUND-ELLSWORTH,,0,75 -213,shp-75-54,1,1
6265070,75,1,OUTBOUND-ELLSWORTH,,0,75 -124,shp-75-54,1,1
6396020,75,3,OUTBOUND-ELLSWORTH,,0,75 -223,shp-75-54,1,1
8642070,75,1,OUTBOUND-ELLSWORTH,,0,75 -132,shp-75-54,1,1
9794070,75,1,OUTBOUND-ELLSWORTH,,0,75 -134,shp-75-54,1,1
10735020,75,3,OUTBOUND-ELLSWORTH,,0,75 -234,shp-75-54,1,1
10674080,75,2,OUTBOUND-ELLSWORTH,,0,75 -099,shp-75-54,1,1
1050080,75,2,OUTBOUND-ELLSWORTH,,0,75 -105,shp-75-53,1,1
12559020,75,3,OUTBOUND-ELLSWORTH,,0,75 -215,shp-75-54,1,1
11403070,75,1,OUTBOUND-ELLSWORTH,,0,75 -130,shp-75-54,1,1
11200010,75,4,OUTBOUND-ELLSWORTH,,0,75 -099,shp-75-54,1,1
6599080,75,2,OUTBOUND-ELLSWORTH,,0,75 -098,shp-75-54,1,1
6636080,75,2,OUTBOUND-ELLSWORTH,,0,75 -098,shp-75-54,1,1
6401010,75,4,OUTBOUND-ELLSWORTH,,0,75 -100,shp-75-54,1,1
7080070,75,1,OUTBOUND-ELLSWORTH,,0,75 -133,shp-75-54,1,1
8293070,75,1,OUTBOUND-ELLSWORTH,,0,75 -133,shp-75-54,1,1
8036010,75,4,OUTBOUND-ELLSWORTH,,0,75 -100,shp-75-54,1,1
